2016-10-16,"HONGKONG DOLLAR",13.0537,13.0413,13.066
2016-10-16,"SINGAPORE DOLLAR",73.4583,73.3755,73.5411
2016-10-16,"SAUDI RIYAL",27.0013,26.9721,27.0304
2016-10-16,"CHINESE YUAN",15.0693,15.0485,15.0902
2016-10-16,"JPY (100)",97.6858,97.5887,97.7829
2016-10-16,"S FRANC",102.5723,102.4701,102.6745
2016-10-16,"CAN $",76.6314,76.5561,76.7068
2016-10-16,"STG POUND",124.1928,124.0561,124.3294
2016-10-16,EURO,112.2600,112.1428,112.3772
2016-10-16,"SA RAND",7.0759,7.0655,7.0863
2016-10-16,"KES / USHS",33.7628,33.6815,33.8441
2016-10-16,"KES / TSHS",21.5509,21.4812,21.6207
2016-10-16,"KES / RWF",7.9634,7.9213,8.0055
2016-10-16,"KES / BIF",16.5194,16.4051,16.6338
2016-10-16,"AE DIRHAM",27.5784,27.5493,27.6074
2016-10-16,"AUSTRALIAN $",76.4222,76.3246,76.5199
2016-10-17,"US DOLLAR",101.2953,101.1994,101.3911
2016-10-17,"SW KRONER",11.5095,11.496,11.523
2016-10-17,"NOR KRONER",12.4120,12.3972,12.4268
2016-10-17,"DAN KRONER",15.0746,15.0592,15.09
2016-10-17,"IND RUPEE",1.5168,1.5152,1.5185
2016-10-17,"HONGKONG DOLLAR",13.0537,13.0413,13.066
2016-10-17,"SINGAPORE DOLLAR",73.4583,73.3755,73.5411
2016-10-17,"SAUDI RIYAL",27.0013,26.9721,27.0304
2016-10-17,"CHINESE YUAN",15.0693,15.0485,15.0902
2016-10-17,"JPY (100)",97.6858,97.5887,97.7829
2016-10-17,"S FRANC",102.5723,102.4701,102.6745
2016-10-17,"CAN $",76.6314,76.5561,76.7068
2016-10-17,"STG POUND",124.1928,124.0561,124.3294
2016-10-17,EURO,112.2600,112.1428,112.3772
2016-10-17,"SA RAND",7.0759,7.0655,7.0863
2016-10-17,"KES / USHS",33.7628,33.6815,33.8441
2016-10-17,"KES / TSHS",21.5509,21.4812,21.6207
2016-10-17,"KES / RWF",7.9634,7.9213,8.0055
2016-10-17,"KES / BIF",16.5194,16.4051,16.6338
2016-10-17,"AE DIRHAM",27.5784,27.5493,27.6074
2016-10-17,"AUSTRALIAN $",76.4222,76.3246,76.5199
2016-10-18,"US DOLLAR",101.2953,101.1994,101.3911
2016-10-18,"SW KRONER",11.5095,11.496,11.523
2016-10-18,"NOR KRONER",12.4120,12.3972,12.4268
